,wavelength,raw_bkg,raw_avg0,raw_avg25,raw_avg50,raw_avg75,raw_avg100,raw_avg125,raw_avg150,raw_avg175,raw_avg200,raw_avg225,raw_avg250
589,559.9315802768335,1514.0844827586207,14.688879310344873,-29.377758620689633,3.389741379310408,-39.54698275862063,-19.208534482758523,-39.54698275862063,-32.76750000000004,-85.87344827586207,42.93672413793104,12.429051724137935,11.299137931034466
590,560.293796340393,1485.8366379310346,-15.818793103448343,-37.28715517241392,11.299137931034352,-29.377758620689747,24.858103448275756,-47.456379310344914,-57.62560344827591,-21.468362068965575,7.909396551724058,4.51965517241365,21.468362068965348
591,560.6559656453896,1578.4895689655173,-4.519655172413877,-11.29913793103458,-47.456379310344914,-49.71620689655174,-88.1332758620689,6.779482758620702,-46.326465517241445,-64.4050862068965,-67.7948275862069,-68.92474137931038,-33.89741379310351
592,561.018088187684,1484.7067241379311,48.586293103448156,54.23586206896539,9.039310344827527,39.54698275862063,-84.74353448275872,-11.29913793103458,14.68887931034476,-22.59827586206916,-72.31448275862078,-14.688879310344873,21.468362068965348
593,561.3801639631364,1437.250344827586,21.468362068965575,-14.68887931034476,-29.37775862068952,-33.89741379310328,-41.806810344827454,-24.858103448275756,19.208534482758637,-29.37775862068952,-24.858103448275756,14.688879310344873,23.728189655172514
594,561.7421929676071,1534.4229310344826,-27.11793103448258,-99.43241379310336,-22.598275862068817,-70.05465517241373,-65.53499999999985,-47.45637931034469,-62.14525862068956,-103.95206896551713,-58.755517241379266,2.2598275862070523,-58.75551724137915
595,562.1041751969566,1473.4075862068967,2.259827586206825,-10.16922413793111,15.818793103448115,-40.676896551724326,-18.07862068965528,-18.078620689655395,-47.45637931034503,-30.507672413793216,14.688879310344646,-18.07862068965528,-12.429051724138048
596,562.4661106470453,1534.4229310344826,-21.46836206896546,-38.41706896551716,-49.716206896551626,-64.40508620689639,-38.417068965517046,-56.49568965517233,-71.1845689655172,-67.7948275862068,-65.53499999999985,-89.26318965517225,-28.24784482758605
597,562.8279993137336,1448.5494827586208,73.44439655172403,29.37775862068952,38.417068965517046,66.66491379310332,51.976034482758564,39.54698275862063,32.767499999999814,3.3897413793101805,50.846120689655095,49.716206896551626,23.728189655172287
598,563.1898411928818,1579.6194827586207,25.988017241379225,30.507672413793102,-10.16922413793111,23.7281896551724,-57.62560344827591,-32.76750000000004,-46.326465517241445,39.54698275862063,-35.02732758620698,37.28715517241369,-30.507672413793102
599,563.5516362803504,1514.0844827586207,2.2598275862069386,-32.76749999999993,-72.31448275862067,-76.83413793103443,-50.846120689655095,-48.586293103448156,-80.22387931034484,-103.95206896551713,-74.5743103448275,-31.63758620689657,-100.56232758620683
600,563.913384572,1458.7187068965518,36.157241379310335,-46.326465517241445,50.846120689655095,0.0,-51.97603448275868,-53.10594827586215,-1.129913793103583,-18.078620689655168,-37.287155172413804,-32.76750000000004,-15.818793103448343
601,564.2750860636907,1839.499655172414,-16.948706896551812,19.208534482758523,14.68887931034476,21.468362068965348,-36.15724137931045,-29.377758620689747,12.429051724137821,-15.818793103448343,24.858103448275756,24.858103448275756,23.728189655172287
602,564.636740751283,1571.7100862068964,79.09396551724149,-11.299137931034466,-4.51965517241365,-30.50767241379299,-29.37775862068952,22.598275862069045,-4.51965517241365,22.59827586206916,-54.23586206896539,9.039310344827754,6.779482758620816
603,564.9983486306372,1628.205775862069,-44.066637931034506,-102.82215517241389,-80.22387931034484,-68.92474137931038,-57.6256034482758,-55.36577586206897,-57.62560344827591,-77.96405172413802,-82.48370689655178,-44.066637931034506,-79.09396551724137
604,565.359909697614,1578.4895689655173,-63.27517241379314,-42.93672413793104,-81.35379310344831,-102.82215517241389,-132.19991379310352,-114.12129310344835,-65.53499999999997,-98.30250000000001,-110.73155172413794,-101.69224137931042,-112.99137931034477
605,565.7214239480734,1632.7254310344829,7.909396551724058,-25.988017241379453,-14.688879310344987,-49.71620689655185,-25.98801724137934,-16.948706896551812,-62.14525862068979,-54.235862068965616,-77.96405172413802,-90.39310344827595,-4.519655172413877
