# wavelength	raw_bkg	raw_avg
3.521933997466226174e+02 1.417815827586206751e+03 -1.627075862068836587e+00
3.525808836528859160e+02 1.370585431034482781e+03 1.545722068965513785e+01
3.529683230939237433e+02 1.489904327586206819e+03 8.090182758620771963e+00
3.533557180655964203e+02 1.395669517241379481e+03 -1.875656896551740260e+01
3.537430685637643819e+02 1.501881413793103548e+03 -1.328778620689666212e+01
3.541303745842880630e+02 1.359512275862068918e+03 1.355896551724190324e+00
3.545176361230277280e+02 1.531259172413793294e+03 1.211267586206878555e+01
3.549048531758439253e+02 1.455554948275861989e+03 9.400882758620763724e+00
3.552920257385969762e+02 1.470921775862069126e+03 2.847382758620524257e+00
3.556791538071473155e+02 1.313411793103448417e+03 5.649568965517123509e+00
3.560662373773553782e+02 1.446967603448275895e+03 1.807862068965478075e+00
3.564532764450814852e+02 1.535552844827586341e+03 -1.147992413793116562e+01
3.568402710061861285e+02 1.426177189655172697e+03 4.881227586206600577e+00
3.572272210565296859e+02 1.371941327586206853e+03 -8.768131034482699704e+00
3.576141265919725356e+02 1.433182655172413888e+03 -3.751313793103531857e+00
3.580009876083749987e+02 1.345501344827586081e+03 -2.485810344827454887e+00
3.583878041015976237e+02 1.380754655172414004e+03 9.174899999999775346e+00
3.587745760675007887e+02 1.421657534482758365e+03 1.441770000000025398e+01
3.591613035019447580e+02 1.525383620689655118e+03 -6.643893103448204052e+00
3.595479864007900801e+02 1.447645551724137931e+03 1.952491034482757470e+01
3.599346247598971331e+02 1.352280827586206897e+03 2.431574482758619027e+01
3.603212185751262950e+02 1.357930396551724016e+03 -3.480134482758503456e+00
3.607077678423380007e+02 1.419623689655172257e+03 -2.842863103448259210e+01
3.610942725573925713e+02 1.392731741379310279e+03 6.915072413793168060e+00
3.614807327161504418e+02 1.426177189655172242e+03 8.948917241379476195e+00
3.618671483144719900e+02 1.457136827586207119e+03 -7.141055172414030316e+00
3.622535193482177647e+02 1.439284189655172440e+03 -5.378389655172454376e+00
3.626398458132479732e+02 1.451487258620689545e+03 -7.638217241379206435e+00
3.630261277054231073e+02 1.421431551724137989e+03 -1.035001034482765192e+01
3.634123650206036018e+02 1.356800482758620774e+03 -2.033844827586281045e+00
3.637985577546498916e+02 1.324258965517241677e+03 2.440613793103147966e+00
3.641847059034222980e+02 1.346179293103448344e+03 1.057599310344820509e+01
3.645708094627811420e+02 1.397025413793103326e+03 7.186251724138046804e+00
3.649568684285869153e+02 1.342563568965517106e+03 -1.667752758620676445e+01
3.653428827967001098e+02 1.383240465517241773e+03 1.975089310344787563e+01
3.657288525629809897e+02 1.378946793103448272e+03 2.643998275862069391e+01
3.661147777232900467e+02 1.336236051724138179e+03 -3.028168965517479716e+00
3.665006582734876019e+02 1.320191275862069006e+03 -9.717258620689699811e+00
3.668864942094342041e+02 1.390471913793103568e+03 -1.021442068965528982e+01
3.672722855269900606e+02 1.374879103448275828e+03 -1.247424827586203655e+01
3.676580322220156631e+02 1.441769999999999982e+03 -1.324258965517241471e+01
3.680437342903714466e+02 1.328100672413793063e+03 6.915072413793150297e+00
3.684293917279176753e+02 1.446289655172413859e+03 1.098276206896546725e+01
3.688150045305150115e+02 1.382110551724138077e+03 -2.124237931034497606e+01
3.692005726940236059e+02 1.484932706896551736e+03 -1.279062413793105790e+01
3.695860962143040069e+02 1.449905379310344870e+03 -3.159238965517245390e+01
3.699715750872165358e+02 1.384822344827586221e+03 1.355896551724122157e+00
3.703570093086216843e+02 1.363127999999999929e+03 -7.819003448275798185e+00
3.707423988743797167e+02 1.339625793103448359e+03 3.254151724137845925e+00
3.711277437803511816e+02 1.425499241379310433e+03 1.984128620689644862e+01
3.715130440223964001e+02 1.330360500000000002e+03 1.414652068965517095e+01
3.718982995963757503e+02 1.431148810344827552e+03 -3.199915862068962724e+01
3.722835104981496670e+02 1.305728379310344735e+03 9.265293103448371426e+00
3.726686767235785851e+02 1.641312775862068975e+03 2.892579310344812971e+00
3.730537982685228826e+02 1.334428189655172446e+03 -2.033844827586240189e+00
3.734388751288430512e+02 1.434312568965517357e+03 -1.161551379310356857e+01
3.738239073003992985e+02 1.451261275862068942e+03 1.581879310344852518e+00
3.742088947790521161e+02 1.381206620689655438e+03 -1.554761379310371083e+01
3.745938375606618820e+02 1.361546120689655254e+03 9.220096551724054734e+00
3.749787356410891448e+02 1.606963396551724145e+03 1.581879310344829648e+00
3.753635890161941120e+02 1.356800482758620774e+03 4.519655172407056193e-02
3.757483976818372753e+02 1.316801534482758598e+03 2.431574482758623290e+01
3.761331616338790695e+02 1.302564620689655158e+03 -3.434937931034469205e+00
3.765178808681798159e+02 1.347535189655172417e+03 5.423586206896557016e+00
3.769025553806000630e+02 1.491260224137930891e+03 -1.170590689655158734e+01
3.772871851670000183e+02 1.355218603448275871e+03 3.163758620689645973e+00
3.776717702232402303e+02 1.346179293103448344e+03 5.468782758620627682e+00
3.780563105451809633e+02 1.363579965517241362e+03 1.274542758620691529e+01
3.784408061286827092e+02 1.383466448275862149e+03 1.505045172413785615e+01
3.788252569696058458e+02 3.478778586206896762e+03 -5.792842034482760027e+02
3.792096630638108650e+02 1.637245086206896758e+03 -6.463106896551745706e+01
3.795940244071580310e+02 1.398833275862068831e+03 -3.796510344827456862e+00
3.799783409955078923e+02 1.434538551724137960e+03 5.694765517241348718e+00
3.803626128247207134e+02 1.355218603448275871e+03 2.033844827586203774e+00
3.807468398906569860e+02 1.399059258620689661e+03 -1.251944482758621646e+01
3.811310221891770311e+02 1.363805948275862193e+03 4.067689655171216057e-01
3.815151597161412838e+02 1.418493775862069015e+03 1.301660689655166614e+01
3.818992524674101787e+02 1.396573448275862120e+03 -4.836031034482812352e+00
3.822833004388440941e+02 1.455102982758621010e+03 -6.011141379310656951e+00
3.826673036263034078e+02 1.319061362068965764e+03 3.172797931034457619e+01
3.830512620256486116e+02 1.387760120689655196e+03 9.355686206896542956e+00
3.834351756327400835e+02 1.485836637931034375e+03 -6.101534482758502520e+00
3.838190444434380879e+02 1.489678344827586216e+03 -4.519655172413877264e-01
3.842028684536031733e+02 1.351150913793103427e+03 -2.228189999999998250e+01
3.845866476590956609e+02 1.366065775862068904e+03 1.834980000000005518e+01
3.849703820557759855e+02 1.309570086206896576e+03 1.572839999999998817e+01
3.853540716395045820e+02 1.481542965517241555e+03 4.700441379310173140e+00
3.857377164061418284e+02 1.406290706896551910e+03 -2.000888343900442134e-13
3.861213163515480460e+02 1.326066827586206728e+03 -2.802186206896385645e+00
3.865048714715838400e+02 1.421205568965517159e+03 -1.898255172413782432e+01
3.868883817621094181e+02 1.343015534482758540e+03 -2.756989655172306097e+00
3.872718472189852150e+02 1.385952258620689690e+03 8.587344827585684515e-01
3.876552678380716657e+02 1.298948896551724147e+03 7.728610344827575140e+00
3.880386436152292049e+02 1.390471913793103568e+03 3.796510344827456862e+00
3.884219745463181539e+02 1.354088689655172402e+03 8.496951724137943529e+00
3.888052606271990044e+02 1.413748137931034307e+03 -1.536682758620671407e+01
3.891885018537320775e+02 1.342789551724138164e+03 -2.395417241379541373e+00
3.895716982217778082e+02 1.439058206896551837e+03 5.152406896551615212e+00
3.899548497271967449e+02 1.362224068965517290e+03 -1.762665517241425839e+00
3.903379563658489815e+02 1.368325603448275842e+03 -1.383014482758619046e+01
3.907210181335951233e+02 1.402223017241379239e+03 -1.053079655172406071e+01
3.911040350262955485e+02 1.373297224137930925e+03 4.456380000000009289e+01
3.914870070398106918e+02 1.314767689655172489e+03 -1.175110344827593956e+01
3.918699341700008176e+02 1.335558103448275915e+03 -1.595438275862074029e+01
3.922528164127264745e+02 1.501429448275861887e+03 -4.700441379310168699e+00
3.926356537638479836e+02 1.350698948275862222e+03 -2.381858275862083829e+01
3.930184462192258366e+02 1.303468551724138024e+03 1.559281034482750705e+01
3.934011937747203547e+02 1.413748137931034762e+03 -1.844019310344857487e+01
3.937838964261918591e+02 1.355896551724138135e+03 5.287996551723922245e+00
3.941665541695009551e+02 1.520186017241379432e+03 -2.395417241379436568e+00
3.945491670005079072e+02 1.330812465517241435e+03 2.517447931034477193e+01
3.949317349150730934e+02 1.367647655172413579e+03 4.293672413793328424e+00
3.953142579090570621e+02 1.497587741379310046e+03 1.342337586206926048e+01
3.956967359783200777e+02 1.390923879310345001e+03 -1.672272413793120549e+01
3.960791691187225751e+02 1.321547172413793078e+03 -1.595438275862066391e+01
3.964615573261250461e+02 1.413522155172413932e+03 1.889215862068952134e+01
3.968439005963877548e+02 1.432052741379310419e+03 -1.007883103448284601e+01
3.972261989253711931e+02 1.427759068965517599e+03 -2.259827586210485517e-01
3.976084523089356821e+02 1.380528672413792947e+03 5.468782758620831963e+00
3.979906607429416567e+02 1.435442482758620827e+03 9.536472413792967728e+00
3.983728242232496655e+02 1.351828862068965464e+03 1.740067241379313501e+01
3.987549427457198590e+02 1.351376896551724258e+03 -6.553500000000135550e+00
3.991370163062127858e+02 1.324710931034482655e+03 1.988648275862079728e+01
3.995190449005889377e+02 1.417815827586206979e+03 -1.441770000000009055e+01
3.999010285247085221e+02 1.348213137931034453e+03 2.766028965517244131e+01
4.002829671744320308e+02 1.376460982758620503e+03 1.138953103448293902e+01
4.006648608456198417e+02 1.361998086206896460e+03 1.328778620689664436e+01
4.010467095341323898e+02 1.349795017241379128e+03 7.095858620689837082e+00
4.014285132358300530e+02 1.308666155172413710e+03 1.590918620689662966e+01
4.018102719465732662e+02 1.531711137931034500e+03 -2.196552413793106240e+01
4.021919856622223506e+02 1.406742672413792889e+03 -9.129703448275641620e+00
4.025736543786378547e+02 1.339173827586206698e+03 1.333298275862089177e+01
4.029552780916799861e+02 1.389793965517241531e+03 6.598696551724001047e+00
4.033368567972093501e+02 1.382110551724138077e+03 4.112886206896405383e+00
4.037183904910862111e+02 1.397025413793103553e+03 -2.228190000000009618e+01
4.040998791691710039e+02 1.343241517241379370e+03 -3.208955172413848089e+00
4.044813228273241066e+02 1.345275362068965478e+03 9.265293103448316359e+00
4.048627214614060108e+02 1.366291758620689734e+03 2.802186206896485565e+00
4.052440750672770378e+02 1.393409689655172315e+03 1.943451724137940673e+01
4.056253836407976792e+02 1.485384672413793169e+03 -1.627075862068972256e+01
4.060066471778281993e+02 1.432278724137931249e+03 1.830460344827565677e+01
4.063878656742290332e+02 1.380980637931034380e+03 -9.943241379309256667e-01
