# wavelength	raw_bkg	raw_avg
3.521933997466226174e+02 1.222792706896551863e+03 1.401093103448260990e+01
3.525808836528859160e+02 1.178952051724137618e+03 -1.604477586206862583e+01
3.529683230939237433e+02 1.310700000000000045e+03 -4.519655172414331901e-01
3.533557180655964203e+02 1.171268637931034391e+03 6.779482758621497851e-01
3.537430685637643819e+02 1.319061362068965536e+03 1.446289655172411059e+01
3.541303745842880630e+02 1.131043706896551612e+03 2.033844827586219850e+01
3.545176361230277280e+02 1.378042862068965633e+03 1.875656896551715747e+01
3.549048531758439253e+02 1.278610448275862154e+03 1.197708620689645542e+01
3.552920257385969762e+02 1.316349568965517392e+03 -2.915177586206912252e+01
3.556791538071473155e+02 1.105959620689655139e+03 -4.745637931034456969e+00
3.560662373773553782e+02 1.273186862068965411e+03 -4.745637931034389467e+00
3.564532764450814852e+02 1.359286293103448315e+03 -2.259827586207165950e-01
3.568402710061861285e+02 1.258046017241379332e+03 -2.463212068965515300e+01
3.572272210565296859e+02 1.125394137931034265e+03 2.046363078989088586e-13
3.576141265919725356e+02 1.246972862068965469e+03 -9.039310344827526933e+00
3.580009876083749987e+02 1.128557896551723843e+03 -2.892579310344797250e+01
3.583878041015976237e+02 1.173980431034482535e+03 2.598801724137954494e+01
3.587745760675007887e+02 1.236577655172413870e+03 9.039310344827526933e+00
3.591613035019447580e+02 1.345049379310344648e+03 -2.711793103448076003e+00
3.595479864007900801e+02 1.298044965517241280e+03 -2.892579310344815369e+01
3.599346247598971331e+02 1.160195482758620756e+03 1.175110344827578501e+01
3.603212185751262950e+02 1.126072086206896529e+03 -1.717468965517236867e+01
3.607077678423380007e+02 1.195222810344827622e+03 1.807862068965482738e+00
3.610942725573925713e+02 1.206747931034482690e+03 -9.717258620689586124e+00
3.614807327161504418e+02 1.220758862068965527e+03 1.152512068965513592e+01
3.618671483144719900e+02 1.262113706896552003e+03 -4.293672413793387932e+00
3.622535193482177647e+02 1.222340741379310202e+03 2.463212068965528800e+01
3.626398458132479732e+02 1.254204310344827718e+03 -1.355896551724299570e+00
3.630261277054231073e+02 1.247424827586206902e+03 -1.943451724137935344e+01
3.634123650206036018e+02 1.131043706896551612e+03 1.423691379310355387e+01
3.637985577546498916e+02 1.100084068965517190e+03 1.536682758620693257e+01
3.641847059034222980e+02 1.132625586206896742e+03 9.943241379310189032e+00
3.645708094627811420e+02 1.211041603448275964e+03 2.033844827586108295e+00
3.649568684285869153e+02 1.089236896551724158e+03 2.079041379310343629e+01
3.653428827967001098e+02 1.186861448275861903e+03 1.062118965517258928e+01
3.657288525629809897e+02 1.190477172413793141e+03 -2.485810344827655172e+00
3.661147777232900467e+02 1.126298068965517359e+03 -8.361362068965604522e+00
3.665006582734876019e+02 1.075451948275862151e+03 1.197708620689647852e+01
3.668864942094342041e+02 1.160421465517241359e+03 6.101534482758620648e+00
3.672722855269900606e+02 1.153641982758620543e+03 -1.175110344827569442e+01
3.676580322220156631e+02 1.242679189655172422e+03 1.694870689655167695e+01
3.680437342903714466e+02 1.120196534482758807e+03 -1.401093103448295096e+01
3.684293917279176753e+02 1.278384465517241097e+03 -2.960374137931007610e+01
3.688150045305150115e+02 1.172172568965517257e+03 2.033844827586208481e+01
3.692005726940236059e+02 1.305954362068965338e+03 -2.485810344827405149e+00
3.695860962143040069e+02 1.220532879310344924e+03 -7.457431034482851828e+00
3.699715750872165358e+02 1.198386568965517199e+03 -2.056443103448270904e+01
3.703570093086216843e+02 1.148896344827586063e+03 -4.519655172413695077e+00
3.707423988743797167e+02 1.123812258620689590e+03 2.011246551724141085e+01
3.711277437803511816e+02 1.281322241379310526e+03 -1.333298275862089177e+01
3.715130440223964001e+02 1.134885413793103453e+03 1.581879310344856959e+00
3.718982995963757503e+02 1.222792706896551636e+03 -1.401093103448270050e+01
3.722835104981496670e+02 1.063022896551724216e+03 1.536682758620680644e+01
3.726686767235785851e+02 1.542332327586206929e+03 -2.259827586206938632e-01
3.730537982685228826e+02 1.119970551724137749e+03 -9.943241379310165939e+00
3.734388751288430512e+02 1.240645344827586314e+03 -1.627075862068977585e+01
3.738239073003992985e+02 1.274316775862068880e+03 -9.039310344826390065e-01
3.742088947790521161e+02 1.165167103448275839e+03 -1.604477586206896689e+01
3.745938375606618820e+02 1.149574293103448326e+03 2.033844827586176685e+00
3.749787356410891448e+02 1.484028775862068869e+03 -1.649674137931026507e+01
3.753635890161941120e+02 1.127201999999999771e+03 1.288101724137952786e+01
3.757483976818372753e+02 1.109123379310344717e+03 4.971620689655310343e+00
3.761331616338790695e+02 1.045622224137931198e+03 2.440613793103433338e+01
3.765178808681798159e+02 1.125620120689655096e+03 1.853058620689662206e+01
3.769025553806000630e+02 1.307310258620689638e+03 -2.937775862068929378e+00
3.772871851670000183e+02 1.143472758620689547e+03 -1.242905172413784420e+01
3.776717702232402303e+02 1.121778413793103482e+03 4.745637931034456969e+00
3.780563105451809633e+02 1.167878896551724210e+03 2.259827586206802241e+00
3.784408061286827092e+02 1.182567775862068856e+03 1.446289655172424737e+01
3.788252569696058458e+02 3.369176948275861832e+03 4.836031034482780200e+01
3.792096630638108650e+02 1.441318034482758549e+03 -1.310699999999994780e+01
3.795940244071580310e+02 1.175562310344827665e+03 2.259827586206802241e+00
3.799783409955078923e+02 1.258046017241379332e+03 -1.988648275862071912e+01
3.803626128247207134e+02 1.119970551724137749e+03 1.853058620689676061e+01
3.807468398906569860e+02 1.239289448275862014e+03 -1.175110344827580811e+01
3.811310221891770311e+02 1.147992413793103651e+03 -3.615724137931215498e+00
3.815151597161412838e+02 1.229798172413793282e+03 6.101534482758438571e+00
3.818992524674101787e+02 1.196352724137931091e+03 -2.259827586207006966e+00
3.822833004388440941e+02 1.252622431034482588e+03 -1.242905172413773052e+01
3.826673036263034078e+02 1.122230379310344915e+03 2.305024137931027184e+01
3.830512620256486116e+02 1.199516482758620668e+03 -2.869981034482759696e+01
3.834351756327400835e+02 1.306858293103448432e+03 1.107315517241361214e+01
3.838190444434380879e+02 1.309344103448275746e+03 3.615724137931047011e+01
3.842028684536031733e+02 1.101665948275861865e+03 2.440613793103470996e+01
3.845866476590956609e+02 1.174884362068965402e+03 4.067689655172557650e+00
3.849703820557759855e+02 1.092400655172413735e+03 2.418015517241383350e+01
3.853540716395045820e+02 1.318157431034482897e+03 1.536682758620674960e+01
3.857377164061418284e+02 1.210589637931034531e+03 2.101639655172407473e+01
3.861213163515480460e+02 1.086977068965517446e+03 2.350220689655152384e+01
3.865048714715838400e+02 1.189573241379310275e+03 1.920853448275870434e+01
3.868883817621094181e+02 1.112061155172413692e+03 -1.129913793103355601e+00
3.872718472189852150e+02 1.159743517241379323e+03 2.937775862068952026e+00
3.876552678380716657e+02 1.067090586206896660e+03 7.231448275861976249e+00
3.880386436152292049e+02 1.214431344827586145e+03 -2.282425862068958011e+01
3.884219745463181539e+02 1.148896344827586290e+03 -7.457431034482874921e+00
